"","Crypto_name","Market_CAP","Fully_Diluted_MKT_CAP","Last","Avail_Coins","Total_Coins","Traded_Volume","Change"
"1","Bitcoin","684.828B","755.609B",35981.36,"19.033M","21.000M","36.357B","-0.06%"
"2","Ethereum","323.818B","323.818B",2683.34,"120.677M","120.677M","20.232B","-0.38%"
"3","Tether","83.204B","85.680B",1,"83.237B","85.714B","72.612B","-0.01%"
"4","Binance Coin","61.670B","62.365B",377.7,"163.277M","165.117M","1.778B","-0.40%"
"5","USD Coin","48.565B","48.565B",1,"48.570B","48.570B","5.272B","-0.01%"
"6","HEX","32.027B","117.007B",0.18,"173.411B","633.543B","19.818M","0.59%"
"7","XRP","28.911B","59.804B",0.6,"48.343B","100.000B","1.708B","-0.64%"
"8","Solana","27.194B","41.507B",81.13,"335.188M","511.617M","1.492B","-0.65%"
"9","Cardano","26.283B","35.055B",0.78,"33.739B","45.000B","1.220B","-0.51%"
"10","Terra","25.080B","53.118B",73.25,"342.400M","725.186M","2.514B","-5.34%"
"11","TerraUSD","18.757B","18.757B",1,"18.750B","18.750B","709.076M","0.01%"
"12","Dogecoin","16.942B","16.942B",0.13,"132.671B","132.671B","865.991M","0.16%"
"13","Avalanche","15.255B","22.456B",56.72,"268.936M","395.891M","848.272M","-0.51%"
"14","Polkadot","14.083B","15.733B",14.26,"987.579M","1.103B","844.687M","-0.49%"
"15","HitChain","13.552B","22.587B",0.22,"61.440B","102.400B","1.050M","-0.08%"
"16","SHIBA INU","11.076B","11.896B",0,"549063.279B","589735.030B","571.640M","1.75%"
"17","Wrapped Bitcoin","10.181B","10.181B",35962.08,"283.105K","283.105K","237.157M","-0.27%"
"18","TRON","8.552B","8.552B",0.08,"101.596B","101.596B","3.730B","-2.62%"
"19","Dai","8.483B","8.483B",1,"8.478B","8.478B","380.355M","-0.03%"
"20","Polygon","8.328B","10.610B",1.06,"7.849B","10.000B","706.899M","1.73%"
"21","NEAR Protocol","7.232B","10.651B",10.65,"679.030M","1.000B","777.036M","-1.14%"
"22","Litecoin","6.756B","8.080B",96.19,"70.231M","84.000M","736.406M","-0.54%"
"23","Bitcoin Cash","5.242B","5.777B",275.09,"19.057M","21.000M","4.048B","-0.25%"
"24","Uniswap","5.124B","7.419B",7.42,"690.664M","1.000B","284.127M","-2.20%"
"25","UNUS SED LEO","5.073B","5.240B",5.32,"953.954M","985.240M","6.395M","-1.09%"
"26","ChainLink","5.038B","10.788B",10.79,"467.010M","1.000B","502.567M","0.04%"
"27","FTX Token","4.892B","12.597B",35.77,"136.769M","352.170M","76.973M","-0.44%"
"28","Cosmos","4.855B","0",16.95,"286.370M","0","476.552M","-3.96%"
"29","Algorand","4.736B","7.033B",0.7,"6.734B","10.000B","511.036M","0.94%"
"30","Stellar","4.206B","8.481B",0.17,"24.798B","50.002B","278.108M","-1.45%"
"31","Monero","3.927B","3.927B",216.74,"18.118M","18.118M","228.279M","-0.65%"
"32","Bitcoin BEP2","3.783B","4.049B",35994.24,"105.111K","112.501K","38.192M","-0.04%"
"33","Ethereum Classic","3.719B","5.820B",27.62,"134.643M","210.700M","506.588M","-1.03%"
"34","APEcoin.dev","3.655B","12.833B",12.83,"284.844M","1.000B","1.040B","-3.25%"
"35","VeChain","2.985B","4.024B",0.05,"64.316B","86.713B","264.915M","-1.65%"
"36","C
							
								CoTrader","2.866B","3.035B",0.15,"18.887B","20.000B","319","-2.59%"
"37","Internet Computer","2.807B","5.956B",12.38,"226.758M","481.133M","146.659M","-0.64%"
"38","Hedera Hashgraph","2.775B","6.690B",0.13,"20.741B","50.000B","52.474M","0.12%"
"39","Filecoin","2.761B","2.761B",13.81,"199.901M","199.901M","520.150M","-0.39%"
"40","Elrond","2.663B","3.821B",121.63,"21.897M","31.416M","105.173M","-0.02%"
"41","Decentraland","2.630B","3.128B",1.43,"1.844B","2.194B","241.858M","-1.47%"
"42","The Sandbox","2.494B","6.095B",2.03,"1.228B","3.000B","360.419M","-1.22%"
"43","Tezos","2.267B","2.321B",2.54,"893.767M","915.359M","107.332M","1.12%"
"44","DeFiChain","2.201B","5.171B",4.31,"510.738M","1.200B","17.993M","-0.60%"
"45","PancakeSwap","2.194B","5.518B",7.42,"295.482M","743.254M","131.134M","-0.27%"
"46","Theta Token","2.187B","2.187B",2.19,"1.000B","1.000B","214.968M","-1.73%"
"47","THORChain","2.056B","3.108B",6.22,"330.688M","500.000M","167.762M","-1.09%"
"48","EOS","2.013B","2.146B",2.04,"988.802M","1.054B","430.872M","0.61%"
"49","KuCoin Token","1.893B","3.274B",19.24,"98.380M","170.119M","4.856M","-3.39%"
"50","Aave","1.880B","2.195B",137.17,"13.704M","16.000M","211.487M","-0.83%"
"51","Klaytn","1.852B","7.140B",0.66,"2.797B","10.782B","77.492M","-2.10%"
"52","Fantom","1.833B","2.287B",0.72,"2.545B","3.175B","444.766M","-0.59%"
"53","Axie Infinity","1.731B","7.673B",28.42,"60.907M","270.000M","264.223M","-0.12%"
"54","Helium","1.706B","3.248B",14.57,"117.137M","223.000M","24.644M","-0.60%"
"55","Zcash","1.706B","2.501B",119.07,"14.328M","21.000M","204.869M","-3.61%"
"56","G
							
								GMT Token","1.643B","16.434B",2.74,"600.000M","6.000B","1.344B","8.70%"
"57","Flow (Dapper Labs)","1.620B","6.105B",4.45,"364.061M","1.372B","69.530M","-1.19%"
"58","Waves","1.489B","1.489B",13.76,"108.198M","108.198M","591.720M","-0.98%"
"59","Huobi Token","1.409B","4.540B",9.08,"155.225M","500.000M","61.126M","-1.58%"
"60","The Graph","1.406B","2.999B",0.3,"4.716B","10.057B","125.628M","1.13%"
"61","Convex Finance","1.399B","2.308B",23.08,"60.612M","100.000M","16.485M","0.48%"
"62","Bitcoin SV","1.376B","1.516B",72.2,"19.052M","21.000M","151.343M","-0.54%"
"63","IOTA","1.369B","1.369B",0.49,"2.780B","2.780B","31.018M","-0.18%"
"64","X
							
								Chain","1.332B","5.414B",0.08,"16.951B","68.895B","155.449M","-5.05%"
"65","Maker","1.308B","1.346B",1338.3,"977.631K","1.006M","71.484M","0.33%"
"66","TrueUSD","1.293B","1.293B",1,"1.293B","1.293B","139.010M","0.00%"
"67","NEO","1.188B","1.684B",16.84,"70.539M","100.000M","102.944M","-0.56%"
"68","eCash","1.174B","1.294B",0,"19052.648B","21000.000B","17.507M","-16.77%"
"69","Stacks","1.121B","1.554B",0.85,"1.311B","1.818B","15.168M","-0.64%"
"70","Quant","1.091B","1.320B",90.33,"12.073M","14.612M","50.624M","0.35%"
"71","Nexo","1.075B","1.920B",1.92,"560.000M","1.000B","25.135M","4.11%"
"72","Kusama","1.073B","1.223B",126.72,"8.470M","9.651M","108.532M","-1.34%"
"73","Curve DAO Token","1.068B","7.649B",2.32,"461.100M","3.303B","256.446M","0.86%"
"74","Zilliqa","1.041B","1.715B",0.08,"12.748B","21.000B","932.183M","-0.09%"
"75","Chiliz","1.030B","1.525B",0.17,"6.000B","8.889B","102.126M","-0.73%"
"76","Celo","1.000B","2.277B",2.28,"439.192M","1.000B","61.288M","-5.20%"
"77","Gala","981.188M","4.956B",0.14,"6.977B","35.240B","471.856M","-2.12%"
"78","Loopring","949.942M","981.892M",0.71,"1.330B","1.375B","127.303M","-1.52%"
"79","Pax Dollar","943.090M","943.090M",1,"945.643M","945.643M","8.714M","0.13%"
"80","Enjin Coin","925.198M","1.045B",1.04,"885.750M","1.000B","136.982M","-0.45%"
"81","BigONE Token","923.652M","1.030B",0.08,"12.055B","13.447B","75.414M","-0.59%"
"82","Dash","922.483M","1.628B",86.11,"10.712M","18.900M","167.834M","-2.22%"
"83","Neutrino USD","913.915M","913.915M",0.96,"949.085M","949.086M","9.083M","1.27%"
"84","Mina","879.025M","1.476B",1.79,"490.918M","824.105M","50.011M","-2.52%"
"85","Basic Attention Token","856.376M","857.498M",0.57,"1.498B","1.500B","84.691M","-1.63%"
"86","XinFin Network","768.731M","2.356B",0.06,"12.305B","37.705B","10.416M","1.38%"
"87","Amp","759.254M","1.664B",0.02,"42.228B","92.548B","10.718M","0.06%"
"88","Decred","723.028M","1.085B",51.66,"13.997M","21.000M","3.447M","0.52%"
"89","Arweave","716.817M","1.417B",21.46,"33.395M","66.000M","48.049M","-2.82%"
"90","Kava","716.009M","662.973M",3.82,"187.549M","173.658M","58.330M","1.34%"
"91","Compound","690.184M","1.025B",102.49,"6.734M","10.000M","56.595M","-0.50%"
"92","Holo","688.956M","706.106M",0,"173.305B","177.619B","44.137M","-10.00%"
"93","Anchor Protocol","651.300M","1.897B",1.9,"343.422M","1.000B","167.531M","-11.17%"
"94","Theta Fuel","640.760M","640.760M",0.12,"5.301B","5.301B","37.287M","-2.72%"
"95","Parachute","628.793M","1.048B",1.05,"599.906M","999.628M","133.084K","-0.76%"
"96","PAX Gold","619.746M","619.746M",1882.44,"329.225K","329.225K","24.984M","-0.11%"
"97","yearn.finance","608.090M","608.560M",16597.38,"36.638K","36.666K","71.991M","-0.69%"
"98","Kadena","599.335M","3.499B",3.5,"171.288M","1.000B","33.203M","-0.06%"
"99","0x","594.231M","701.161M",0.7,"847.496M","1.000B","94.397M","-0.06%"
"100","ICON","571.419M","575.599M",0.62,"919.483M","926.210M","18.668M","-0.61%"
"101","Secret","567.374M","660.733M",3.47,"163.296M","190.165M","14.755M","-1.08%"
"102","Gnosis","566.542M","2.934B",293.43,"1.931M","10.000M","5.911M","-0.64%"
"103","Audius","565.392M","869.951M",0.79,"713.382M","1.098B","33.014M","-0.75%"
"104","G
							
								Moonbeam","563.397M","2.284B",2.28,"246.718M","1.000B","54.732M","-2.16%"
"105","Oasis Network","559.156M","1.601B",0.16,"3.493B","10.000B","49.490M","-1.05%"
"106","Qtum","553.511M","573.012M",5.31,"104.153M","107.822M","94.071M","-1.86%"
"107","1inch","546.447M","1.975B",1.32,"415.044M","1.500B","184.685M","-2.80%"
"108","Synthetix Network Token","539.566M","998.044M",4.7,"114.842M","212.424M","115.934M","1.45%"
"109","Bancor","535.477M","535.477M",2.02,"265.088M","265.088M","13.437M","0.10%"
"110","IoTeX","518.185M","543.126M",0.05,"9.541B","10.000B","39.368M","-1.44%"
"111","OmiseGO","513.139M","513.139M",3.66,"140.245M","140.245M","98.355M","-0.37%"
"112","Kyber Network","509.157M","509.157M",2.86,"177.809M","177.809M","243.546M","-5.47%"
"113","Livepeer","509.087M","491.039M",21.44,"23.749M","22.907M","51.000M","-0.96%"
"114","SKALE Network","493.722M","986.887M",0.14,"3.502B","7.000B","21.403M","-0.38%"
"115","Bitcoin Gold","480.805M","576.507M",27.45,"17.514M","21.000M","29.903M","-0.21%"
"116","Symbol","480.159M","774.108M",0.09,"5.582B","9.000B","5.544M","1.02%"
"117","Celsius","479.880M","1.398B",2.01,"238.864M","695.658M","4.049M","-1.13%"
"118","A
							
								Astar","471.747M","971.600M",0.14,"3.399B","7.000B","33.141M","5.15%"
"119","Ankr","469.789M","575.517M",0.06,"8.163B","10.000B","48.036M","-1.94%"
"120","Tether Gold","464.205M","464.205M",1883,"246.524K","246.524K","11.348M","0.07%"
"121","Serum","463.218M","17.880B",1.76,"263.245M","10.161B","86.194M","-0.28%"
"122","Galatasaray Fan Token","450.505M","2.562B",12.81,"35.161M","200.000M","568.806M","-2.12%"
"123","Ravencoin","449.790M","901.874M",0.04,"10.473B","21.000B","20.079M","1.42%"
"124","Swipe","449.696M","487.649M",0.93,"483.432M","524.232M","55.375M","-1.75%"
"125","Facebook tokenized stock Bittrex","447.855M","39.177B",205.44,"2.180M","190.700M","739.224K","-2.06%"
"126","Horizen","436.935M","742.596M",35.36,"12.356M","21.000M","99.742M","-3.39%"
"127","IOStoken","421.353M","2.040B",0.02,"18.589B","90.000B","118.459M","1.37%"
"128","Frax Share","397.716M","2.451B",24.54,"16.209M","99.899M","37.455M","-1.58%"
"129","Siacoin","396.099M","396.099M",0.01,"50.912B","50.912B","13.314M","-0.89%"
"130","Keystone of Opportunity & Knowledge","392.890M","18.302B",3.66,"107.333M","5.000B","7.372M","12.71%"
"131","E
							
								Everscale","392.212M","653.932M",0.32,"1.230B","2.050B","6.293M","10.35%"
"132","WAX","384.085M","749.222M",0.19,"1.982B","3.866B","18.606M","-1.42%"
"133","Ontology","383.180M","437.795M",0.44,"875.250M","1.000B","36.523M","-0.26%"
"134","A
							
								ACA Token","375.638M","919.613M",0.92,"408.474M","1.000B","13.884M","-1.74%"
"135","E
							
								Ethereum Name Service","372.110M","1.838B",18.38,"20.245M","100.000M","222.330M","-0.46%"
"136","Wootrade","371.037M","1.065B",0.36,"1.045B","3.000B","26.475M","8.88%"
"137","SwissBorg","369.071M","369.071M",0.37,"1.000B","1.000B","1.234M","-2.22%"
"138","Velas","365.141M","365.141M",0.16,"2.296B","2.296B","5.883M","2.21%"
"139","Braintrust","359.705M","994.750M",3.98,"90.401M","250.000M","5.096M","1.74%"
"140","UMA","357.568M","546.865M",5.41,"66.152M","101.173M","118.008M","-1.24%"
"141","Render Token","351.510M","777.546M",1.45,"242.707M","536.871M","30.812M","-4.53%"
"142","Immutable X","348.456M","2.962B",1.48,"235.284M","2.000B","80.870M","-2.12%"
"143","Golem","340.704M","340.704M",0.34,"1.000B","1.000B","10.887M","-3.34%"
"144","Rally","338.083M","1.859B",0.12,"2.729B","15.000B","2.358M","-1.05%"
"145","Storj","330.424M","360.230M",0.85,"389.835M","425.000M","27.613M","-0.38%"
"146","Gatechain Token","325.774M","1.248B",4.16,"78.330M","300.000M","7.402M","-33.68%"
"147","WhiteCoin","324.466M","435.993M",0.44,"744.201M","1.000B","3.551M","7.99%"
"148","Voyager Token","320.396M","321.438M",1.15,"278.482M","279.388M","4.919M","-1.63%"
"149","Hive Blockchain","316.983M","316.983M",0.77,"411.800M","411.800M","9.830M","0.00%"
"150","Nervos Network","298.481M","328.412M",0.01,"33.275B","36.612B","5.536M","-2.39%"
